rank	leh_section	ratio	leh_pages	cz_pages_allocated	page_a_print	page_a_print_end	page_b	page_b_end	cz_sections	title
1	5.1	17.0	17	1.0	148	164	619	680	6.3	5.1 Reversible Binding of a Protein to a Ligand: Oxygen-Binding Proteins
2	8.3	16.0	16	1.0	278	293	1078	1122	4.1.5	8.3 Nucleic Acid Chemistry
3	6.4	11.0	11	1.0	203	213	823	852	3.6	6.4 Examples of Enzymatic Reactions
4	11.3	9.5	19	2.0	385	403	1432	1495	8.5.3	11.3 Solute Transport across Membranes
5	21.1	9.1	16	1.8	745	760	2649	2696	8.3	21.1 Biosynthesis of Fatty Acids and Eicosanoids
6	19.1	7.5	15	2.0	660	674	2368	2407	6.2.4	19.1 The Mitochondrial Respiratory Chain
7	23.2	7.3	11	1.5	848	858	2967	3005	10.1,10.1.3	23.2 Tissue-Specific Metabolism
8	16.2	7.2	12	1.7	578	589	2103	2133	6.2.2	16.2 Reactions of the Citric Acid Cycle
9	17.2	6.5	12	1.8	607	618	2198	2240	8.4.4,10.1.2	17.2 Oxidation of Fatty Acids
10	19.2	6.0	12	2.0	675	686	2408	2447	6.2.4	19.2 ATP Synthesis
11	11.2	5.3	8	1.5	377	384	1403	1431	8.5.2	11.2 Membrane Dynamics
12	1.3	5.0	10	2.0	18	27	154	188	1.4,1.5	1.3 Physical Foundations
13	2.2	5.0	5	1.0	54	58	289	312	2.1.2	2.2 Ionization of Water, Weak Acids, and Weak Bases
14	3.4	5.0	10	2.0	91	100	416	450	2.2.1	3.4 The Structure of Proteins: Primary Structure
15	8.2	5.0	10	2.0	269	278	1047	1077	4.1.2	8.2 Nucleic Acid Structure
16	26.2	4.9	17	3.5	972	988	3382	3428	4.1.4	26.2 RNA Processing
17	22.3	4.5	9	2.0	816	824	2863	2883	6.3,9.5	22.3 Molecules Derived from Amino Acids
18	3.3	4.0	8	2.0	83	90	393	415	2.2.6	3.3 Working with Proteins
19	23.3	3.9	9	2.3	859	867	3006	3029	10.3	23.3 Hormonal Regulation of Fuel Metabolism
20	25.1	3.8	17	4.5	914	930	3200	3250	4.1.3	25.1 DNA Replication
21	13.3	3.7	11	3.0	478	488	1754	1787	6.1.2	13.3 Phosphoryl Group Transfers and ATP
22	13.2	3.5	7	2.0	472	478	1728	1753	6.1.3,10.1	13.2 Chemical Logic and Common Biochemical Reactions
23	13.5	3.5	7	2.0	497	503	1821	1837	6.1.3,10.2	13.5 Regulation of Metabolic Pathways
24	26.1	3.4	12	3.5	961	972	3346	3381	4.1.4	26.1 DNA-Dependent Synthesis of RNA
25	27.1	3.3	10	3.0	1006	1015	3491	3519	4.2.1	27.1 The Genetic Code
26	7.4	3.3	5	1.5	254	258	993	1006	7.5	7.4 Carbohydrates as Informational Molecules: The Sugar Code
