level	kind	chapter_num	section	title	page_a_print	page_a_print_end	page_a_pdf	page_b	page_b_end
1	frontmatter			About this Book	2	2	38	2	98
2	frontmatter			Cover Page	2	2	38	2	2
2	frontmatter			Halftitle Page	2	2	38	3	3
2	frontmatter			Title Page	2	2	38	4	5
2	frontmatter			Copyright	2	2	38	6	8
2	frontmatter			Dedication	2	2	38	9	9
2	frontmatter			About the Authors	2	2	38	10	13
2	frontmatter			A Note on the Nature of Science	2	2	38	14	17
2	frontmatter			Overview of key features	2	2	38	18	28
2	frontmatter			Tools and Resources to Support Teaching	2	2	38	29	31
2	frontmatter			Acknowledgments	2	2	38	32	43
2	frontmatter			Contents in Brief	2	2	38	44	45
2	frontmatter			Contents	2	2	38	46	98
1	chapter	1		Chapter 1 The Foundations of Biochemistry	2	42	38	99	245
2	section	1	1.1	1.1 Cellular Foundations	2	9	38	104	127
3	subheading	1	1.1	Cells Are the Structural and Functional Units of All Living Organisms	2	2	38	104	105
3	subheading	1	1.1	Cellular Dimensions Are Limited by Diffusion	2	3	38	106	108
3	subheading	1	1.1	Organisms Belong to Three Distinct Domains of Life	3	4	39	109	110
3	subheading	1	1.1	Organisms Differ Widely in Their Sources of Energy and Biosynthetic Precursors	4	4	40	111	111
3	subheading	1	1.1	Bacterial and Archaeal Cells Share Common Features but Differ in Important Ways	4	6	40	112	114
3	subheading	1	1.1	Eukaryotic Cells Have a Variety of Membranous Organelles, Which Can Be Isolated for Study	6	7	42	115	119
3	subheading	1	1.1	The Cytoplasm Is Organized by the Cytoskeleton and Is Highly Dynamic	8	8	44	120	122
3	subheading	1	1.1	Cells Build Supramolecular Structures	8	8	44	123	123
3	subheading	1	1.1	In Vitro Studies May Overlook Important Interactions among Molecules	8	9	44	124	127
2	section	1	1.2	1.2 Chemical Foundations	10	18	46	128	153
3	subheading	1	1.2	Biomolecules Are Compounds of Carbon with a Variety of Functional Groups	10	12	46	129	132
3	subheading	1	1.2	Cells Contain a Universal Set of Small Molecules	12	13	48	133	134
3	subheading	1	1.2	Macromolecules Are the Major Constituents of Cells	13	14	49	135	138
3	subheading	1	1.2	Three-Dimensional Structure Is Described by Configuration and Conformation	14	18	50	139	148
3	subheading	1	1.2	Interactions between Biomolecules Are Stereospecific	18	18	54	149	153
2	section	1	1.3	1.3 Physical Foundations	18	27	54	154	188
3	subheading	1	1.3	Living Organisms Exist in a Dynamic Steady State, Never at Equilibrium with Their Surroundings	18	18	54	154	155
3	subheading	1	1.3	Organisms Transform Energy and Matter from Their Surroundings	19	20	55	156	162
3	subheading	1	1.3	Creating and Maintaining Order Requires Work and Energy	20	22	56	163	166
3	subheading	1	1.3	Energy Coupling Links Reactions in Biology	22	24	58	167	170
3	subheading	1	1.3	K[eq] and ΔG° Are Measures of a Reaction’s Tendency to Proceed Spontaneously	24	25	60	171	178
3	subheading	1	1.3	Enzymes Promote Sequences of Chemical Reactions	25	26	61	179	184
3	subheading	1	1.3	Metabolism Is Regulated to Achieve Balance and Economy	26	27	62	185	188
2	section	1	1.4	1.4 Genetic Foundations	28	30	64	189	199
3	subheading	1	1.4	Genetic Continuity Is Vested in Single DNA Molecules	28	28	64	191	192
3	subheading	1	1.4	The Structure of DNA Allows Its Replication and Repair with Near-Perfect Fidelity	28	29	64	193	194
3	subheading	1	1.4	The Linear Sequence in DNA Encodes Proteins with Three-Dimensional Structures	29	30	65	195	199
2	section	1	1.5	1.5 Evolutionary Foundations	30	36	66	200	224
3	subheading	1	1.5	Changes in the Hereditary Instructions Allow Evolution	30	31	66	200	203
3	subheading	1	1.5	Biomolecules First Arose by Chemical Evolution	31	32	67	204	207
3	subheading	1	1.5	RNA or Related Precursors May Have Been the First Genes and Catalysts	32	33	68	208	211
3	subheading	1	1.5	Biological Evolution Began More Than Three and a Half Billion Years Ago	33	33	69	212	214
3	subheading	1	1.5	The First Cell Probably Used Inorganic Fuels	33	34	69	215	216
3	subheading	1	1.5	Eukaryotic Cells Evolved from Simpler Precursors in Several Stages	34	35	70	217	219
3	subheading	1	1.5	Molecular Anatomy Reveals Evolutionary Relationships	35	35	71	220	220
3	subheading	1	1.5	Functional Genomics Shows the Allocations of Genes to Specific Cellular Processes	36	36	72	221	221
3	subheading	1	1.5	Genomic Comparisons Have Increasing Importance in Medicine	36	36	72	222	224
2	subheading	1	1.5	Chapter Review	36	42	72	225	245
3	subheading	1	1.5	Key Terms	36	36	72	225	225
3	subheading	1	1.5	Problems	37	42	73	226	245
1	subheading	1	1.5	Part I Structure and Catalysis	42	461	78	246	1688
2	chapter	2		Chapter 2 Water, The Solvent of Life	43	70	79	251	357
3	section	2	2.1	2.1 Weak Interactions in Aqueous Systems	44	53	80	254	288
4	subheading	2	2.1	Hydrogen Bonding Gives Water Its Unusual Properties	44	45	80	254	259
4	subheading	2	2.1	Water Forms Hydrogen Bonds with Polar Solutes	45	45	81	260	262
4	subheading	2	2.1	Water Interacts Electrostatically with Charged Solutes	46	46	82	263	265
4	subheading	2	2.1	Nonpolar Gases Are Poorly Soluble in Water	47	47	83	266	267
4	subheading	2	2.1	Nonpolar Compounds Force Energetically Unfavorable Changes in the Structure of Water	47	48	83	268	271
4	subheading	2	2.1	van der Waals Interactions Are Weak Interatomic Attractions	48	49	84	272	273
4	subheading	2	2.1	Weak Interactions Are Crucial to Macromolecular Structure and Function	49	50	85	274	279
4	subheading	2	2.1	Concentrated Solutes Produce Osmotic Pressure	51	53	87	280	288
3	section	2	2.2	2.2 Ionization of Water, Weak Acids, and Weak Bases	54	58	90	289	312
4	subheading	2	2.2	Pure Water Is Slightly Ionized	54	54	90	289	292
4	subheading	2	2.2	The Ionization of Water Is Expressed by an Equilibrium Constant	54	55	90	293	296
4	subheading	2	2.2	The pH Scale Designates the H[+] and H[−] Concentrations	55	56	91	297	302
4	subheading	2	2.2	Weak Acids and Bases Have Characteristic Acid Dissociation Constants	56	57	92	303	304
4	subheading	2	2.2	Titration Curves Reveal the p[Ka] of Weak Acids	57	58	93	305	312
3	section	2	2.3	2.3 Buffering against pH Changes in Biological Systems	59	64	95	313	334
4	subheading	2	2.3	Buffers Are Mixtures of Weak Acids and Their Conjugate Bases	59	60	95	314	315
4	subheading	2	2.3	The Henderson-Hasselbalch Equation Relates pH, p[Ka], and Buffer Concentration	60	60	96	316	317
4	subheading	2	2.3	Weak Acids or Bases Buffer Cells and Tissues against pH Changes	61	62	97	318	329
4	subheading	2	2.3	Untreated Diabetes Produces Life-Threatening Acidosis	63	64	99	330	334
3	subheading	2	2.3	Chapter Review	64	70	100	335	357
4	subheading	2	2.3	Key Terms	64	64	100	335	335
4	subheading	2	2.3	Problems	64	70	100	336	357
2	chapter	3		Chapter 3 Amino Acids, Peptides, and Proteins	70	105	106	358	474
3	section	3	3.1	3.1 Amino Acids	71	79	107	361	379
4	subheading	3	3.1	Amino Acids Share Common Structural Features	71	72	107	361	364
4	subheading	3	3.1	The Amino Acid Residues in Proteins Are L Stereoisomers	72	72	108	365	365
4	subheading	3	3.1	Amino Acids Can Be Classified by R Group	72	76	108	366	370
4	subheading	3	3.1	Uncommon Amino Acids Also Have Important Functions	76	77	112	371	372
4	subheading	3	3.1	Amino Acids Can Act as Acids and Bases	77	78	113	373	376
4	subheading	3	3.1	Amino Acids Differ in Their Acid-Base Properties	78	79	114	377	379
3	section	3	3.2	3.2 Peptides and Proteins	79	83	115	380	392
4	subheading	3	3.2	Peptides Are Chains of Amino Acids	79	80	115	380	382
