cz_chapter	cz_section	enTitle	cz_pages	cz_page_count	cz_nodes	leh_sections	leh_page_count	depth_ratio	leh_pages_A	leh_pages_B	auto_top	auto_agrees	auto_margin	leh_titles	node_ids	czTitle
1	1.1	What is biochemistry?	8-9	2	1	1.1	8	4.0	1.1:2-9	1.1:104-127	6.1	False	1.2	1.1 Cellular Foundations	1-1	Co je biochemie?
1	1.2	Living and non-living	10-11	2	1	1.1	8	4.0	1.1:2-9	1.1:104-127	4.5	False	1.22	1.1 Cellular Foundations	1-2	Živé a neživé
1	1.3	Building blocks of living matter: from molecule to cell	11-16	6	1	1.1,1.2	17	2.8	1.1:2-9; 1.2:10-18	1.1:104-127; 1.2:128-153	1.1	True	1.91	1.1 Cellular Foundations | 1.2 Chemical Foundations	1-3	Stavební kameny živé hmoty: od molekuly k buňce
1	1.4	Nutrition and metabolism	16-17	2	1	1.3,13.1	16	8.0	1.3:18-27; 13.1:466-471	1.3:154-188; 13.1:1705-1727	18.3	False	1.29	1.3 Physical Foundations | 13.1 Bioenergetics and Thermodynamics	1-4	Výživa a metabolismus
1	1.5	Energy and life	17-18	2	1	1.3,13.1	16	8.0	1.3:18-27; 13.1:466-471	1.3:154-188; 13.1:1705-1727	1.3	True	1.42	1.3 Physical Foundations | 13.1 Bioenergetics and Thermodynamics	1-5	Energie a život
1	1.6	Origin and evolution of life	18-20	3	1	1.5	7	2.3	1.5:30-36	1.5:200-224	26.4	False	2.14	1.5 Evolutionary Foundations	1-6	Vznik a vývoj života
2	2.1.1	Structure and occurrence of amino acids	21-23	3	1	3.1	9	3.0	3.1:71-79	3.1:361-379	3.1	True	3.62	3.1 Amino Acids	2-1-1	Struktura aminokyselin a výskyt
2	2.1.2	Physico-chemical properties of amino acids	23-24	2	1	3.1,2.2	14	7.0	3.1:71-79; 2.2:54-58	3.1:361-379; 2.2:289-312	3.3	False	1.02	3.1 Amino Acids | 2.2 Ionization of Water, Weak Acids, and Weak Bases	2-1-2	Fyzikálně chemické vlastnosti aminokyselin
2	2.1.3	Chemical reactions of amino acids	24-25	2	1	3.1	9	4.5	3.1:71-79	3.1:361-379	3.1	True	1.0	3.1 Amino Acids	2-1-3	Chemické reakce aminokyselin
2	2.1.4	Formation of the peptide bond	26	1	1	3.2	5	5.0	3.2:79-83	3.2:380-392	4.1	False	1.47	3.2 Peptides and Proteins	2-1-4	Tvorba peptidové vazby
2	2.2.1	Amino acid sequence (primary structure)	26-27	2	1	3.4	10	5.0	3.4:91-100	3.4:416-450	3.4	True	2.22	3.4 The Structure of Proteins: Primary Structure	2-2-1	Sekvence aminokyselin (primární struktura)
2	2.2.2	Principles of conformation	27-33	7	1	4.1,4.2	9	1.3	4.1:108-110; 4.2:111-116	4.1:479-492; 4.2:493-514	4.1	True	1.07	4.1 Overview of Protein Structure | 4.2 Protein Secondary Structure	2-2-2	Principy konformace
2	2.2.3	Conformation of proteins — the levels of structure	33-34	2	1	4.3	14	7.0	4.3:116-129	4.3:515-553	4.3	True	1.41	4.3 Protein Tertiary and Quaternary Structures	2-2-3	Konformace proteinů
2	2.2.4	Types of construction of the protein molecule	34-35	2	1	4.3	14	7.0	4.3:116-129	4.3:515-553	4.3	True	1.81	4.3 Protein Tertiary and Quaternary Structures	2-2-4	Typy stavby proteinové molekuly
2	2.2.5	Simple and conjugated proteins	36-37	2	1	3.2,4.3	19	9.5	3.2:79-83; 4.3:116-129	3.2:380-392; 4.3:515-553	3.2	True	1.48	3.2 Peptides and Proteins | 4.3 Protein Tertiary and Quaternary Structures	2-2-5	Jednoduché a složené proteiny
2	2.2.6	Properties of proteins	37-40	4	1	3.3,4.4	16	4.0	3.3:83-90; 4.4:129-136	3.3:393-415; 4.4:554-580	3.2	False	1.0	3.3 Working with Proteins | 4.4 Protein Denaturation and Folding	2-2-6	Vlastnosti proteinů
3	3.1	Classification and nomenclature of enzymes	41-42	2	1	6.1	3	1.5	6.1:177-179	6.1:730-736	6.1	True	1.65	6.1 An Introduction to Enzymes	3-1	Klasifikace a názvosloví enzymů
3	3.2	Structure of the enzyme molecule; Coenzymes	42-54	13	1	6.1,6.2,13.4	22	1.7	6.1:177-179; 6.2:179-188; 13.4:488-496	6.1:730-736; 6.2:737-770; 13.4:1788-1820	16.1	False	1.31	6.1 An Introduction to Enzymes | 6.2 How Enzymes Work | 13.4 Biological Oxidation-Reduction Reactions	3-2	Struktura molekuly enzymu; Koenzymy
3	3.3.1	Enzyme reaction kinetics; the Michaelis–Menten equation	54-57	4	1	6.3	16	4.0	6.3:188-203	6.3:771-822	6.2	False	1.28	6.3 Enzyme Kinetics as an Approach to Understanding Mechanism	3-3-1	Kinetika enzymové reakce; Rovnice Michaelise a Mentenové
3	3.3.2	Two-substrate reactions	57-58	2	1	6.3	16	8.0	6.3:188-203	6.3:771-822	6.3	True	2.06	6.3 Enzyme Kinetics as an Approach to Understanding Mechanism	3-3-2	Dvousubstrátové reakce
3	3.3.3	Measurement of enzyme activity	58	1	1	6.3	16	16.0	6.3:188-203	6.3:771-822	16.2	False	1.22	6.3 Enzyme Kinetics as an Approach to Understanding Mechanism	3-3-3	Měření enzymové aktivity
3	3.4	Influence of pH and temperature on enzyme reactions	58-59	2	1	6.3	16	8.0	6.3:188-203	6.3:771-822	6.3	True	3.33	6.3 Enzyme Kinetics as an Approach to Understanding Mechanism	3-4	Vliv pH a teploty na enzymové reakce
3	3.5	Inhibition of enzyme reactions	59-61	3	1	6.3	16	5.3	6.3:188-203	6.3:771-822	6.3	True	1.79	6.3 Enzyme Kinetics as an Approach to Understanding Mechanism	3-5	Inhibice enzymových reakcí
3	3.6	Mechanism of enzyme action	61-62	2	1	6.2,6.4	21	10.5	6.2:179-188; 6.4:203-213	6.2:737-770; 6.4:823-852	6.2	True	1.19	6.2 How Enzymes Work | 6.4 Examples of Enzymatic Reactions	3-6	Mechanismus působení enzymů
3	3.7	Regulatory enzymes; allosteric enzymes	62-65	4	1	6.5	11	2.8	6.5:213-223	6.5:853-886	6.5	True	6.51	6.5 Regulatory Enzymes	3-7	Regulační enzymy; Alosterické enzymy
4	4.1	Nucleic acids are the basic molecules of heredity	66-67	2	1	8.1,1.4	10	5.0	8.1:263-269; 1.4:28-30	8.1:1028-1046; 1.4:189-199	8.1	True	1.42	8.1 Some Basic Definitions and Conventions | 1.4 Genetic Foundations	4-1	Nukleové kyseliny jsou základní molekuly dědičnosti
4	4.1.1.1	Biosynthesis of nucleotides; biosynthesis of purine nucleotides	67-70	4	1	22.4	14	3.5	22.4:824-837	22.4:2884-2927	22.4	True	2.22	22.4 Biosynthesis and Degradation of Nucleotides	4-1-1-1	Biosyntéza nukleotidů; Biosyntéza purinových nukleotidů
4	4.1.1.2	Biosynthesis of pyrimidine nucleotides	70-72	3	1	22.4	14	4.7	22.4:824-837	22.4:2884-2927	22.4	True	2.22	22.4 Biosynthesis and Degradation of Nucleotides	4-1-1-2	Biosyntéza pyrimidinových nukleotidů
4	4.1.2	Structure of nucleic acids	72-75	4	1	8.1,8.2	17	4.2	8.1:263-269; 8.2:269-278	8.1:1028-1046; 8.2:1047-1077	8.2	True	1.35	8.1 Some Basic Definitions and Conventions | 8.2 Nucleic Acid Structure	4-1-2	Struktura nukleových kyselin
4	4.1.3	DNA structure and biosynthesis explain the principle of heredity — 1) DNA polymerases	76-84	9	2	25.1,24.1	23	2.6	25.1:914-930; 24.1:885-890	25.1:3200-3250; 24.1:3098-3114	25.1	True	1.92	25.1 DNA Replication | 24.1 Chromosomal Elements	4-1-3-1,4-1-3-2	Struktura a biosyntéza DNA vysvětluje princip dědičnosti — 1) DNA-polymerasy
4	4.1.4	DNA is transcribed into RNA — types and properties of RNA	85-91	7	2	26.1,26.2	29	4.1	26.1:961-972; 26.2:972-988	26.1:3346-3381; 26.2:3382-3428	26.2	True	1.06	26.1 DNA-Dependent Synthesis of RNA | 26.2 RNA Processing	4-1-4-1,4-1-4-2	DNA je přepisována do RNA — druhy a vlastnosti RNA
4	4.1.5	Degradation of nucleic acids	91-92	2	1	22.4,8.3	30	15.0	22.4:824-837; 8.3:278-293	22.4:2884-2927; 8.3:1078-1122	9.1	False	1.06	22.4 Biosynthesis and Degradation of Nucleotides | 8.3 Nucleic Acid Chemistry	4-1-5	Odbourávání nukleových kyselin
4	4.2.1	The gene sequence determines the order of amino acids in proteins	92-94	3	1	27.1	10	3.3	27.1:1006-1015	27.1:3491-3519	28.3	False	1.18	27.1 The Genetic Code	4-2-1	Sekvence genu určuje pořadí aminokyselin v proteinech
4	4.2.2	Protein synthesis takes place in ribosomes	94-95	2	1	27.2	26	13.0	27.2:1015-1040	27.2:3520-3593	27.2	True	4.03	27.2 Protein Synthesis	4-2-2	Proteosyntéza probíhá v ribosomech
4	4.2.3	Phases of protein synthesis (I): amino acid activation, initiation and elongation	95-102	8	2	27.2	26	3.2	27.2:1015-1040	27.2:3520-3593	27.2	True	6.16	27.2 Protein Synthesis	4-2-3-1,4-2-3-2	Fáze proteosyntézy (I): aktivace aminokyselin, iniciace a elongace
4	4.2.4	Regulation of protein synthesis (I): the lactose and tryptophan operons	102-108	7	2	28.1,28.2	21	3.0	28.1:1055-1065; 28.2:1065-1074	28.1:3643-3677; 28.2:3678-3709	28.1	True	1.12	28.1 The Proteins and RNAs of Gene Regulation | 28.2 Regulation of Gene Expression in Bacteria	4-2-4-1,4-2-4-2	Regulace proteosyntézy (I): operon laktosy a tryptofanu
4	4.3.1	Non-covalent interactions and folding of the polypeptide chain into its biologically active form	108-110	3	1	4.4	8	2.7	4.4:129-136	4.4:554-580	27.2	False	2.44	4.4 Protein Denaturation and Folding	4-3-1	Nekovalentní interakce a uspořádání peptidového řetězce do biologicky aktivní formy
4	4.3.2	Post-translational modification of the polypeptide chain and transport of proteins across the membrane	110-111	2	1	27.3	11	5.5	27.3:1040-1050	27.3:3594-3620	27.3	True	5.07	27.3 Protein Targeting and Degradation	4-3-2	Posttranslační modifikace polypeptidového řetězce a přenos proteinů přes membránu
4	4.3.3	Covalent modification of amino acid side chains	111-114	4	1	27.3,6.5	22	5.5	27.3:1040-1050; 6.5:213-223	27.3:3594-3620; 6.5:853-886	22.3	False	2.12	27.3 Protein Targeting and Degradation | 6.5 Regulatory Enzymes	4-3-3	Kovalentní modifikace bočních řetězců aminokyselin
5	5.1	Proteolytic cleavage of proteins	115-118	4	1	27.3,18.1	19	4.8	27.3:1040-1050; 18.1:627-634	27.3:3594-3620; 18.1:2266-2289	18.1	True	1.22	27.3 Protein Targeting and Degradation | 18.1 Metabolic Fates of Amino Groups	5-1	Proteolytické štěpení bílkovin
5	5.2	Degradation of amino acids	118	1	1	18.1	8	8.0	18.1:627-634	18.1:2266-2289	18.3	False	1.72	18.1 Metabolic Fates of Amino Groups	5-2	Odbourávání aminokyselin
5	5.2.1	Metabolic reactions at the amino acid α-carbon — deamination mechanisms	118-122	5	2	18.1	8	1.6	18.1:627-634	18.1:2266-2289	18.1	True	1.62	18.1 Metabolic Fates of Amino Groups	5-2-1-1,5-2-1-2	Metabolické reakce na α-uhlíkovém atomu aminokyselin — deaminace
5	5.2.2	Ammonia detoxification, the urea (ornithine) cycle — sources and elimination of ammonia	123-125	3	2	18.2	7	2.3	18.2:634-640	18.2:2290-2308	18.2	True	1.5	18.2 Nitrogen Excretion and the Urea Cycle	5-2-2-1,5-2-2-2	Detoxikace amoniaku, močovinový (ornithinový) cyklus — zdroje a eliminace amoniaku
5	5.2.3	Degradation of the carbon skeleton and mutual interconversion of amino acids — glucogenic/ketogenic classification; 1) Conversion to acetyl-CoA via pyruvate (C3 family)	125-129	5	4	18.3	15	3.0	18.3:640-654	18.3:2309-2344	18.3	True	2.07	18.3 Pathways of Amino Acid Degradation	5-2-3-1,5-2-3-2,5-2-3-3,5-2-3-4	Odbourávání uhlíkové kostry a vzájemné přeměny aminokyselin — glukogenní/ketogenní klasifikace; 1) Přeměna na acetylkoenzym A přes pyruvát (C3-rodina)
6	6.1	Principles of bioenergetics	130	1	1	13.1	6	6.0	13.1:466-471	13.1:1705-1727	13.1	True	2.42	13.1 Bioenergetics and Thermodynamics	6-1	Principy bioenergetiky
